name,rating,reviews,price_range,street,postal_code,nb_photos,Latitude,Longitude
Barceló Raval,4.5,56.0,[12 - 33],"Rambla del Raval, 17 - 21",08001 Barcelona,157,41.3790381,2.1695982999999996
Hotel 1898,4.5,76.0,[34 - 66],"La Rambla, 109",08002 Barcelona,156,41.38346729999999,2.1712016
W Barcelona,4.0,176.0,over 67,"Plaça de la Rosa dels Vents, 1",08039 Barcelona,464,41.3674464,2.1888016
Hotel Continental Barcelona,4.5,12.0,under 11,"Paseo la Rambla, 138",08002 Barcelona,8,41.385168900000004,2.1708087000000003
Pulitzer Barcelona,4.0,42.0,[12 - 33],"Carrer Bergara, 8",08002 Barcelona,100,41.3860816,2.1683428
Le Méridien Barcelona,4.0,84.0,[34 - 66],La Rambla 111,,161,,
Hotel Cotton House,4.5,47.0,[34 - 66],"Gran Via de les Corts Catalanes, 670",08010 Barcelona,151,41.391608399999996,2.1719271
Hotel Ayre Roselon,4.5,7.0,under 11,Rossello 390,,16,,
Hotel Majestic,4.0,40.0,[34 - 66],"Passeig de Gracia, 68",08007 Barcelona,129,41.3935221,2.163977
Renaissance Barcelona Hotel,4.0,53.0,[34 - 66],"Pau Claris, 122",08009 Barcelona,197,41.3927888,2.1673975
Villa Emilia,5.0,25.0,[12 - 33],"Carrer de Calàbria, 115",08015 Barcelona,94,41.380246899999996,2.1541148999999997
Hotel Arts Barcelona,4.0,103.0,,Marina 19-21,08005 Barcelona,287,41.3977365,2.2015347000000003
Mandarin Oriental,4.0,40.0,over 67,"Passeig de Gràcia, 38-40",08007 Barcelona,106,41.3912786,2.1667383
Hotel Jazz,4.5,22.0,[12 - 33],"Pelai, 3, Eixample",08001 Barcelona,23,41.385951899999995,2.1658927
K+K Hotel Picasso Barcelona,4.5,20.0,,"Passeig de Picasso, 26",08003 Barcelona,79,41.386608200000005,2.1839828999999997
Hotel Europark,4.5,46.0,[12 - 33],"Carrer d'Arago, 323",08009 Barcelona,105,41.3963208,2.1699118
